Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Lasiosphaeriaceae gen Incertae sedis,6,123,2,1,"['none (121)', 'order (1)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Lasiosphaeriaceae gen Incertae sedis;Lasiosphaeriaceae sp,7,123,2,1,"['none (121)', 'order (1)', 'species (1)']"
Fungi;Ascomycota;Ascomycota cls Incertae sedis,3,2389,148,144,"['none (2241)', 'species (144)', 'phylum (3)', 'domain (1)']"
Fungi;Ascomycota;Ascomycota cls Incertae sedis;Ascomycota ord Incertae sedis,4,2389,148,144,"['none (2241)', 'species (144)', 'phylum (3)', 'domain (1)']"
Fungi;Ascomycota;Ascomycota cls Incertae sedis;Ascomycota ord Incertae sedis;Ascomycota fam Incertae sedis,5,2389,148,144,"['none (2241)', 'species (144)', 'phylum (3)', 'domain (1)']"
Fungi;Ascomycota;Ascomycota cls Incertae sedis;Ascomycota ord Incertae sedis;Ascomycota fam Incertae sedis;Ascomycota gen Incertae sedis,6,2337,139,135,"['none (2198)', 'species (135)', 'phylum (3)', 'domain (1)']"
Fungi;Ascomycota;Ascomycota cls Incertae sedis;Ascomycota ord Incertae sedis;Ascomycota fam Incertae sedis;Ascomycota gen Incertae sedis;Ascomycota sp,7,2337,139,135,"['none (2198)', 'species (135)', 'phylum (3)', 'domain (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae,5,479,172,172,"['species (172)', 'none (307)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella,6,141,84,84,"['species (84)', 'none (57)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella flexispora,7,2,2,2,['species (2)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania,6,45,14,14,"['none (31)', 'species (14)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania exigua,7,2,0,0,['none (2)']
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Arnium,6,14,0,0,['none (14)']
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Arnium;Arnium sp,7,14,0,0,['none (14)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sp,7,86,2,2,"['none (84)', 'species (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Lachnaceae,5,150,80,80,"['species (80)', 'none (70)']"
